"Kod";"Nazwa";"biblioteki i filie;2023;[ob.]";
0201000;"Powiat bolesławiecki";25;
0202000;"Powiat dzierżoniowski";21;
0203000;"Powiat głogowski";16;
0204000;"Powiat górowski";11;
0205000;"Powiat jaworski";16;
0206000;"Powiat karkonoski";21;
0207000;"Powiat kamiennogórski";12;
0208000;"Powiat kłodzki";47;
0209000;"Powiat legnicki";17;
0210000;"Powiat lubański";16;
0211000;"Powiat lubiński";18;
0212000;"Powiat lwówecki";19;
0213000;"Powiat milicki";11;
0214000;"Powiat oleśnicki";16;
0215000;"Powiat oławski";16;
0216000;"Powiat polkowicki";16;
0217000;"Powiat strzeliński";13;
0218000;"Powiat średzki";18;
0219000;"Powiat świdnicki";26;
0220000;"Powiat trzebnicki";12;
0221000;"Powiat wałbrzyski";13;
0222000;"Powiat wołowski";12;
0223000;"Powiat wrocławski";38;
0224000;"Powiat ząbkowicki";25;
0225000;"Powiat zgorzelecki";26;
0226000;"Powiat złotoryjski";19;
0401000;"Powiat aleksandrowski";9;
0402000;"Powiat brodnicki";27;
0403000;"Powiat bydgoski";18;
0404000;"Powiat chełmiński";11;
0405000;"Powiat golubsko-dobrzyński";13;
0406000;"Powiat grudziądzki";11;
0407000;"Powiat inowrocławski";30;
0408000;"Powiat lipnowski";18;
0409000;"Powiat mogileński";6;
0410000;"Powiat nakielski";19;
0411000;"Powiat radziejowski";9;
0412000;"Powiat rypiński";17;
0413000;"Powiat sępoleński";10;
0414000;"Powiat świecki";23;
0415000;"Powiat toruński";31;
0416000;"Powiat tucholski";16;
0417000;"Powiat wąbrzeski";13;
0418000;"Powiat włocławski";20;
0419000;"Powiat żniński";19;
0601000;"Powiat bialski";40;
0602000;"Powiat biłgorajski";29;
0603000;"Powiat chełmski";20;
0604000;"Powiat hrubieszowski";22;
0605000;"Powiat janowski";15;
0606000;"Powiat krasnostawski";20;
0607000;"Powiat kraśnicki";28;
0608000;"Powiat lubartowski";40;
0609000;"Powiat lubelski";55;
0610000;"Powiat łęczyński";20;
0611000;"Powiat łukowski";29;
0612000;"Powiat opolski";16;
0613000;"Powiat parczewski";21;
0614000;"Powiat puławski";26;
0615000;"Powiat radzyński";21;
0616000;"Powiat rycki";14;
0617000;"Powiat świdnicki";14;
0618000;"Powiat tomaszowski";20;
0619000;"Powiat włodawski";16;
0620000;"Powiat zamojski";31;
0801000;"Powiat gorzowski";14;
0802000;"Powiat krośnieński";14;
0803000;"Powiat międzyrzecki";22;
0804000;"Powiat nowosolski";21;
0805000;"Powiat słubicki";12;
0806000;"Powiat strzelecko-drezdenecki";15;
0807000;"Powiat sulęciński";13;
0808000;"Powiat świebodziński";11;
0809000;"Powiat zielonogórski";23;
0810000;"Powiat żagański";25;
0811000;"Powiat żarski";28;
0812000;"Powiat wschowski";6;
1001000;"Powiat bełchatowski";16;
1002000;"Powiat kutnowski";21;
1003000;"Powiat łaski";13;
1004000;"Powiat łęczycki";10;
1005000;"Powiat łowicki";18;
1006000;"Powiat łódzki wschodni";10;
1007000;"Powiat opoczyński";17;
1008000;"Powiat pabianicki";16;
1009000;"Powiat pajęczański";16;
1010000;"Powiat piotrkowski";33;
1011000;"Powiat poddębicki";15;
1012000;"Powiat radomszczański";27;
1013000;"Powiat rawski";11;
1014000;"Powiat sieradzki";25;
1015000;"Powiat skierniewicki";14;
1016000;"Powiat tomaszowski";24;
1017000;"Powiat wieluński";30;
1018000;"Powiat wieruszowski";18;
1019000;"Powiat zduńskowolski";11;
1020000;"Powiat zgierski";31;
1021000;"Powiat brzeziński";6;
1201000;"Powiat bocheński";37;
1202000;"Powiat brzeski";28;
1203000;"Powiat chrzanowski";35;
1204000;"Powiat dąbrowski";18;
1205000;"Powiat gorlicki";31;
1206000;"Powiat krakowski";65;
1207000;"Powiat limanowski";36;
1208000;"Powiat miechowski";11;
1209000;"Powiat myślenicki";20;
1210000;"Powiat nowosądecki";55;
1211000;"Powiat nowotarski";55;
1212000;"Powiat olkuski";24;
1213000;"Powiat oświęcimski";29;
1214000;"Powiat proszowicki";11;
1215000;"Powiat suski";28;
1216000;"Powiat tarnowski";61;
1217000;"Powiat tatrzański";19;
1218000;"Powiat wadowicki";43;
1219000;"Powiat wielicki";20;
1401000;"Powiat białobrzeski";10;
1402000;"Powiat ciechanowski";17;
1403000;"Powiat garwoliński";27;
1404000;"Powiat gostyniński";13;
1405000;"Powiat grodziski";14;
1406000;"Powiat grójecki";16;
1407000;"Powiat kozienicki";18;
1408000;"Powiat legionowski";16;
1409000;"Powiat lipski";9;
1410000;"Powiat łosicki";9;
1411000;"Powiat makowski";19;
1412000;"Powiat miński";21;
1413000;"Powiat mławski";15;
1414000;"Powiat nowodworski";14;
1415000;"Powiat ostrołęcki";29;
1416000;"Powiat ostrowski";17;
1417000;"Powiat otwocki";29;
1418000;"Powiat piaseczyński";26;
1419000;"Powiat płocki";29;
1420000;"Powiat płoński";15;
1421000;"Powiat pruszkowski";22;
1422000;"Powiat przasnyski";17;
1423000;"Powiat przysuski";19;
1424000;"Powiat pułtuski";13;
1425000;"Powiat radomski";39;
1426000;"Powiat siedlecki";25;
1427000;"Powiat sierpecki";19;
1428000;"Powiat sochaczewski";16;
1429000;"Powiat sokołowski";16;
1430000;"Powiat szydłowiecki";12;
1432000;"Powiat warszawski zachodni";17;
1433000;"Powiat węgrowski";23;
1434000;"Powiat wołomiński";41;
1435000;"Powiat wyszkowski";18;
1436000;"Powiat zwoleński";15;
1437000;"Powiat żuromiński";9;
1438000;"Powiat żyrardowski";14;
1601000;"Powiat brzeski";31;
1602000;"Powiat głubczycki";11;
1603000;"Powiat kędzierzyńsko-kozielski";24;
1604000;"Powiat kluczborski";13;
1605000;"Powiat krapkowicki";33;
1606000;"Powiat namysłowski";11;
1607000;"Powiat nyski";41;
1608000;"Powiat oleski";30;
1609000;"Powiat opolski";45;
1610000;"Powiat prudnicki";22;
1611000;"Powiat strzelecki";22;
1801000;"Powiat bieszczadzki";8;
1802000;"Powiat brzozowski";36;
1803000;"Powiat dębicki";36;
1804000;"Powiat jarosławski";34;
1805000;"Powiat jasielski";25;
1806000;"Powiat kolbuszowski";23;
1807000;"Powiat krośnieński";38;
1808000;"Powiat leżajski";23;
1809000;"Powiat lubaczowski";24;
1810000;"Powiat łańcucki";30;
1811000;"Powiat mielecki";43;
1812000;"Powiat niżański";23;
1813000;"Powiat przemyski";30;
1814000;"Powiat przeworski";28;
1815000;"Powiat ropczycko-sędziszowski";22;
1816000;"Powiat rzeszowski";65;
1817000;"Powiat sanocki";36;
1818000;"Powiat stalowowolski";25;
1819000;"Powiat strzyżowski";27;
1820000;"Powiat tarnobrzeski";17;
1821000;"Powiat leski";17;
2001000;"Powiat augustowski";19;
2002000;"Powiat białostocki";28;
2003000;"Powiat bielski";11;
2004000;"Powiat grajewski";9;
2005000;"Powiat hajnowski";13;
2006000;"Powiat kolneński";12;
2007000;"Powiat łomżyński";21;
2008000;"Powiat moniecki";12;
2009000;"Powiat sejneński";8;
2010000;"Powiat siemiatycki";11;
2011000;"Powiat sokólski";16;
2012000;"Powiat suwalski";16;
2013000;"Powiat wysokomazowiecki";16;
2014000;"Powiat zambrowski";6;
2201000;"Powiat bytowski";20;
2202000;"Powiat chojnicki";11;
2203000;"Powiat człuchowski";14;
2204000;"Powiat gdański";13;
2205000;"Powiat kartuski";18;
2206000;"Powiat kościerski";15;
2207000;"Powiat kwidzyński";12;
2208000;"Powiat lęborski";12;
2209000;"Powiat malborski";7;
2210000;"Powiat nowodworski";15;
2211000;"Powiat pucki";8;
2212000;"Powiat słupski";28;
2213000;"Powiat starogardzki";21;
2214000;"Powiat tczewski";17;
2215000;"Powiat wejherowski";29;
2216000;"Powiat sztumski";8;
2401000;"Powiat będziński";32;
2402000;"Powiat bielski";35;
2403000;"Powiat cieszyński";32;
2404000;"Powiat częstochowski";40;
2405000;"Powiat gliwicki";20;
2406000;"Powiat kłobucki";21;
2407000;"Powiat lubliniecki";26;
2408000;"Powiat mikołowski";18;
2409000;"Powiat myszkowski";15;
2410000;"Powiat pszczyński";32;
2411000;"Powiat raciborski";31;
2412000;"Powiat rybnicki";18;
2413000;"Powiat tarnogórski";28;
2414000;"Powiat bieruńsko-lędziński";9;
2415000;"Powiat wodzisławski";30;
2416000;"Powiat zawierciański";34;
2417000;"Powiat żywiecki";43;
2601000;"Powiat buski";13;
2602000;"Powiat jędrzejowski";25;
2603000;"Powiat kazimierski";7;
2604000;"Powiat kielecki";41;
2605000;"Powiat konecki";20;
2606000;"Powiat opatowski";16;
2607000;"Powiat ostrowiecki";17;
2608000;"Powiat pińczowski";15;
2609000;"Powiat sandomierski";18;
2610000;"Powiat skarżyski";9;
2611000;"Powiat starachowicki";23;
2612000;"Powiat staszowski";18;
2613000;"Powiat włoszczowski";12;
2801000;"Powiat bartoszycki";18;
2802000;"Powiat braniewski";10;
2803000;"Powiat działdowski";23;
2804000;"Powiat elbląski";17;
2805000;"Powiat ełcki";9;
2806000;"Powiat giżycki";12;
2807000;"Powiat iławski";18;
2808000;"Powiat kętrzyński";15;
2809000;"Powiat lidzbarski";10;
2810000;"Powiat mrągowski";12;
2811000;"Powiat nidzicki";10;
2812000;"Powiat nowomiejski";10;
2813000;"Powiat olecki";6;
2814000;"Powiat olsztyński";26;
2815000;"Powiat ostródzki";22;
2816000;"Powiat piski";8;
2817000;"Powiat szczycieński";19;
2818000;"Powiat gołdapski";6;
2819000;"Powiat węgorzewski";6;
3001000;"Powiat chodzieski";9;
3002000;"Powiat czarnkowsko-trzcianecki";27;
3003000;"Powiat gnieźnieński";19;
3004000;"Powiat gostyński";12;
3005000;"Powiat grodziski";11;
3006000;"Powiat jarociński";15;
3007000;"Powiat kaliski";24;
3008000;"Powiat kępiński";16;
3009000;"Powiat kolski";22;
3010000;"Powiat koniński";28;
3011000;"Powiat kościański";17;
3012000;"Powiat krotoszyński";19;
3013000;"Powiat leszczyński";14;
3014000;"Powiat międzychodzki";10;
3015000;"Powiat nowotomyski";18;
3016000;"Powiat obornicki";9;
3017000;"Powiat ostrowski";35;
3018000;"Powiat ostrzeszowski";11;
3019000;"Powiat pilski";27;
3020000;"Powiat pleszewski";21;
3021000;"Powiat poznański";62;
3022000;"Powiat rawicki";12;
3023000;"Powiat słupecki";11;
3024000;"Powiat szamotulski";16;
3025000;"Powiat średzki";14;
3026000;"Powiat śremski";10;
3027000;"Powiat turecki";17;
3028000;"Powiat wągrowiecki";14;
3029000;"Powiat wolsztyński";14;
3030000;"Powiat wrzesiński";20;
3031000;"Powiat złotowski";13;
3201000;"Powiat białogardzki";9;
3202000;"Powiat choszczeński";18;
3203000;"Powiat drawski";12;
3204000;"Powiat goleniowski";20;
3205000;"Powiat gryficki";14;
3206000;"Powiat gryfiński";25;
3207000;"Powiat kamieński";16;
3208000;"Powiat kołobrzeski";17;
3209000;"Powiat koszaliński";28;
3210000;"Powiat myśliborski";18;
3211000;"Powiat policki";9;
3212000;"Powiat pyrzycki";17;
3213000;"Powiat sławieński";17;
3214000;"Powiat stargardzki";25;
3215000;"Powiat szczecinecki";21;
3216000;"Powiat świdwiński";12;
3217000;"Powiat wałecki";9;
3218000;"Powiat łobeski";7;
